escenario,minuto,es_hora_pico,velocidad_media_kmh_mean,velocidad_media_kmh_std,velocidad_media_kmh_min,velocidad_media_kmh_max,pct_ruta_directa_mean,pct_ruta_directa_std,pct_ruta_directa_min,pct_ruta_directa_max,pct_reroutean_mean,pct_reroutean_std,pct_reroutean_min,pct_reroutean_max,pct_metro_mean,pct_metro_std,pct_metro_min,pct_metro_max,modal_shift_acum_mean,modal_shift_acum_std,modal_shift_acum_min,modal_shift_acum_max,recaudacion_acum_usd_mean,recaudacion_acum_usd_std,recaudacion_acum_usd_min,recaudacion_acum_usd_max,directo_nse_bajo_corr_mean,directo_nse_bajo_corr_std,directo_nse_bajo_corr_min,directo_nse_bajo_corr_max,pct_metro_bajo_corr_mean,pct_metro_bajo_corr_std,pct_metro_bajo_corr_min,pct_metro_bajo_corr_max
EB,705,False,30.9,,30.9,30.9,91.2,,91.2,91.2,8.4,,8.4,8.4,0.4,,0.4,0.4,26108.0,,26108,26108,5983.75,,5983.75,5983.75,377.0,,377,377,0.0,,0.0,0.0
EB,720,False,31.1,,31.1,31.1,91.7,,91.7,91.7,8.3,,8.3,8.3,0.1,,0.1,0.1,27034.0,,27034,27034,6018.75,,6018.75,6018.75,377.0,,377,377,0.0,,0.0,0.0
EB,735,False,30.8,,30.8,30.8,91.7,,91.7,91.7,8.3,,8.3,8.3,0.1,,0.1,0.1,27999.0,,27999,27999,6053.75,,6053.75,6053.75,377.0,,377,377,0.0,,0.0,0.0
EB,750,False,31.8,,31.8,31.8,91.6,,91.6,91.6,8.3,,8.3,8.3,0.1,,0.1,0.1,28953.0,,28953,28953,6088.75,,6088.75,6088.75,376.0,,376,376,0.2380952380952381,,0.2380952380952381,0.2380952380952381
EB,765,False,31.5,,31.5,31.5,91.4,,91.4,91.4,8.4,,8.4,8.4,0.2,,0.2,0.2,29577.0,,29577,29577,6149.75,,6149.75,6149.75,376.0,,376,376,0.2380952380952381,,0.2380952380952381,0.2380952380952381
EB,780,False,31.0,,31.0,31.0,91.6,,91.6,91.6,8.3,,8.3,8.3,0.2,,0.2,0.2,29865.0,,29865,29865,6205.75,,6205.75,6205.75,376.0,,376,376,0.2380952380952381,,0.2380952380952381,0.2380952380952381
EB,795,False,31.6,,31.6,31.6,90.9,,90.9,90.9,8.7,,8.7,8.7,0.4,,0.4,0.4,30075.0,,30075,30075,6230.75,,6230.75,6230.75,376.0,,376,376,0.2380952380952381,,0.2380952380952381,0.2380952380952381
EB,810,False,30.9,,30.9,30.9,91.6,,91.6,91.6,8.3,,8.3,8.3,0.2,,0.2,0.2,30362.0,,30362,30362,6259.75,,6259.75,6259.75,377.0,,377,377,0.0,,0.0,0.0
EB,825,False,31.3,,31.3,31.3,91.3,,91.3,91.3,8.3,,8.3,8.3,0.4,,0.4,0.4,30640.0,,30640,30640,6304.75,,6304.75,6304.75,377.0,,377,377,0.0,,0.0,0.0
EB,840,False,30.3,,30.3,30.3,91.3,,91.3,91.3,8.5,,8.5,8.5,0.2,,0.2,0.2,30918.0,,30918,30918,6355.75,,6355.75,6355.75,377.0,,377,377,0.0,,0.0,0.0
EB,855,False,31.6,,31.6,31.6,91.5,,91.5,91.5,8.4,,8.4,8.4,0.1,,0.1,0.1,31210.0,,31210,31210,6416.75,,6416.75,6416.75,377.0,,377,377,0.0,,0.0,0.0
EB,870,False,30.7,,30.7,30.7,91.1,,91.1,91.1,8.3,,8.3,8.3,0.5,,0.5,0.5,31470.0,,31470,31470,6448.75,,6448.75,6448.75,376.0,,376,376,0.2380952380952381,,0.2380952380952381,0.2380952380952381
EB,885,False,30.9,,30.9,30.9,91.4,,91.4,91.4,8.3,,8.3,8.3,0.3,,0.3,0.3,31751.0,,31751,31751,6492.75,,6492.75,6492.75,376.0,,376,376,0.2380952380952381,,0.2380952380952381,0.2380952380952381
EB,900,False,30.8,,30.8,30.8,91.5,,91.5,91.5,8.5,,8.5,8.5,0.0,,0.0,0.0,32055.0,,32055,32055,6538.75,,6538.75,6538.75,376.0,,376,376,0.0,,0.0,0.0
EB,915,False,31.2,,31.2,31.2,90.4,,90.4,90.4,9.1,,9.1,9.1,0.5,,0.5,0.5,32347.0,,32347,32347,6585.75,,6585.75,6585.75,376.0,,376,376,0.0,,0.0,0.0
EB,930,False,31.2,,31.2,31.2,91.5,,91.5,91.5,8.4,,8.4,8.4,0.1,,0.1,0.1,32638.0,,32638,32638,6626.75,,6626.75,6626.75,377.0,,377,377,0.0,,0.0,0.0
EB,945,False,31.3,,31.3,31.3,91.3,,91.3,91.3,8.4,,8.4,8.4,0.3,,0.3,0.3,32837.0,,32837,32837,6670.75,,6670.75,6670.75,376.0,,376,376,0.0,,0.0,0.0
EB,960,False,32.0,,32.0,32.0,91.4,,91.4,91.4,8.3,,8.3,8.3,0.3,,0.3,0.3,33093.0,,33093,33093,6724.75,,6724.75,6724.75,377.0,,377,377,0.0,,0.0,0.0
EB,975,False,31.5,,31.5,31.5,91.7,,91.7,91.7,8.3,,8.3,8.3,0.0,,0.0,0.0,33289.0,,33289,33289,6764.75,,6764.75,6764.75,376.0,,376,376,0.0,,0.0,0.0
EB,990,False,31.6,,31.6,31.6,91.3,,91.3,91.3,8.6,,8.6,8.6,0.1,,0.1,0.1,33548.0,,33548,33548,6828.75,,6828.75,6828.75,376.0,,376,376,0.0,,0.0,0.0
